Year,CPI,CPI_SA
2007.1,620.4537815,613.4968966
2007.11,620.4537815,614.3667305
2007.12,620.4537815,619.4729364
2008.01,620.4537815,621.4477766
2008.02,625.0840336,628.8251816
2008.03,634.3445378,641.5225829
2008.04,638.9747899,645.7310792
2008.05,643.605042,650.0857129
2008.06,648.2352941,652.3862717
2008.07,662.1260504,657.6686062
2008.08,671.3865546,665.2637209
2008.09,676.0168067,671.9090901
2008.1,685.1384034,677.6033574
2008.11,686.3885714,679.0672103
2008.12,679.859916,678.1182616
2009.01,685.8792437,686.3433976
2009.02,685.5088235,689.8545229
2009.03,687.3609244,695.4807915
2009.04,694.0284874,701.945122
2009.05,700.834958,708.7345112
2009.06,708.0118487,712.8856594
2009.07,740.6551261,735.3850428
2009.08,748.4339496,741.5872646
2009.09,752.7863866,747.9635498
2009.1,763.0655462,754.7458716
2009.11,778.3453782,769.6128052
2009.12,780.8457143,778.3801588
2010.01,796.4033613,796.1442376
2010.02,787.1428571,792.2085741
2010.03,785.7537815,795.3124553
2010.04,789.4116807,798.9331376
2010.05,795.0605882,804.8047573
2010.06,805.6638655,811.4976386
2010.07,824.1848739,818.1512739
2010.08,824.1848739,816.5512802
2010.09,828.8151261,823.3125204
2010.1,838.0756303,829.0938179
2010.11,842.7058824,832.8170879
2010.12,856.5966387,853.7237886
2011.01,871.0430252,870.2035338
2011.02,857.1985714,862.7839783
2011.03,856.1336134,866.6707006
2011.04,861.4584034,872.1690359
2011.05,865.8571429,876.9626901
2011.06,875.1176471,881.5444092
