Year,WPI series,WPI_SA
2010.02,251.8003795,254.4208629
2010.03,253.8490512,255.9355191
2010.04,258.1326376,257.5308446
2010.05,259.063852,258.4205413
2010.06,260.3675522,259.4535395
2010.07,262.6024668,260.5619962
2010.08,262.7887097,261.12429
2010.09,264.4648956,263.2954839
2010.1,266.1410816,265.1830875
2010.11,267.8172676,268.0523316
2010.12,271.914611,273.7081249
2011.01,275.6394687,277.0545053
2011.02,275.8257116,278.569416
2011.03,278.433112,280.5868725
2011.04,283.2754269,282.5345762
2011.05,283.8341556,283.1187122
2011.06,285.1378558,284.1510761
2011.07,287.1865275,285.0763261
2011.08,288.4902277,286.8071225
2011.09,290.9113852,289.6849793
2011.1,292.4013283,291.4108693
2011.11,292.2150854,292.4930731
2011.12,292.2150854,293.9840761
